<#f0f000>:Throws:</>
The People's Judo Throw                                     		[~B]^LP_+^LK

<#f0f000>:Special Moves:</>
Magatamakeri                                                		_QDF^HK
75 Shiki Esakai (Air)                                       		_QDF?
75 Shiki Esakai                                             		_QDF?
Chokeslam!                                                  		_QDF^HP
Surprise Bodega                                             		_QDF?
Mr. Grabby Sam's Doubletap                                  		_DF_DF?
Mr. Grabby Sam                                              		_HCB^HK
Mr. Grabby Sam                                              		_HCB^MK
Mr. Grabby Sam                                              		_HCB^LK
It's called Rainbow Energy Dynamite? If you say so.         		_DB_DB^HK
Why is it called RED kick if nothing about it is red?       		_DB_DB^MK
Why is it called RED kick if nothing about it is red?       		_DB_DB^LK
Like a Record                                               		_DF_DF^HP
Shiki's Only Teriaki                                        		_DF_DF^LP
Shiki's Only Teriaki                                        		_DF_DF^MP
Seriously: Look it Up                                       		_QDF^HP
Bodega is Spanish for Wine Cellar                           		_QDF^HP
Kyo's Old Fireball                                          		_QDF^HP
401 Macdonald-Cartier Freeway                               		_HCB^MP
Galaga ze!                                                  		_HCB^HP
127 Shiki... You know Sabrina                               		_HCB^MP
Hit by a BITCH                                              		_QDB^LP
Killer Instinct Crane Kick                                  		_QDF?
Aggressive Spin Strike                                      		_QDF?
Shiki's New To Me                                           		_QDB^MP
Man in the Mirror                                           		_QDB^HP
128 She's Cold Kiss!                                        		_QDF?
Kool Offensive Flurry                                       		_QDF^LP
Kyo's Other Flurry                                          		_QDF^MP
Bodegrab                                                    		^LP_+^LK
Roll                                                        		[~B]^MP_+^MK
Roll                                                        		^MP_+^MK

<#f0f000>:Hyper Moves:</>
The End of King of Fighters <#bebebe>(3000)</>              		_QDB^LP_+^HP
Protagonist Pair-Up <#bebebe>(2000)</>                      		_QDB^HP_+^HK
Super Orochi Brothers <#bebebe>(2000)</>                    		_QDF^HP_+^HK
You Cant Escape! <#bebebe>(1000)</>                         		_HCB^LK_+^HK
Kusanagi no Kobushi <#bebebe>(1000)</>                      		_DB_DB^LK_+^HK
Bodega Deez Nuts <#bebebe>(1000)</>                         		_QDF^LK_+^HK
Bodega Amazing! <#bebebe>(1000)</>                          		_QDF^LP_+^HP
