oresama　 …通常技とか
oresama2　…必殺技
oresama3　…超必殺技
oresama4　…-2とか

var(4)　　KOボイス
var(5)　　本気ゲージMAX
var(6)　　本気状態
var(10)   本気ゲージ量
var(11)　 王の策略射出命令
var(12) 　ハイジャンプ
var(13) 　リフガ制限
var(14) 　本気・嵐を払う1コンボ制限
var(15) 　本気・鎌コンボ制限
var(16) 　本気・CCCブレイク制限
var(17) 　本気・嵐を払う2コンボ制限
var(18) 　鎖エルキドゥ補正
var(19) 　メタ返し用？
var(20) 　モード選択中　※0でst 1でccc
var(21) 　モード選択！　※1でst 2でccc
var(22)   ザビ子ゲージ量
var(23)   ザビ子行動制限スイッチ
var(24)   敗北ポーズ
var(25)   灰油スイッチ
var(26)   加護スイッチ
var(27)   キシャルスイッチ
var(28)   一撃勝利
var(29)   CCCバビロン位置１
var(30)   CCCバビロン位置２
var(31)   ご立腹フラグ
var(32)   破邪刀・命令
var(33)   麒麟のマント・命令
var(34)   破戒の警策・命令
var(35) 　嵐を払う補正
var(36) 　5C&2C追加浮き上がり
var(37) 　凍結制限
var(58)   勝利ポーズ
var(59)   なぁにこれぇ




